"Target","M25079_s_at","HG1428.HT1428_s_at","hum_alu_at","D86974_at","M26602_at","D49824_s_at","Z84721_cds2_at","L06499_at","M26311_s_at","X00274_at","J04617_s_at","X57351_s_at","Z19554_s_at","AFFX.HSAC07.X00351_M_at","M63438_s_at","M11147_at","M19507_at","HG2887.HT3031_at","Z12962_at","M13560_s_at","M27891_at","V00594_s_at","X00437_s_at","AFFX.HUMGAPDH.M33197_5_at","M96326_rna1_at","AFFX.M27830_5_at","X00351_f_at","Z70759_at","M27783_s_at","M91036_rna1_at","M20203_s_at","L19779_at","Y00787_s_at","X56681_s_at","AFFX.HSAC07.X00351_5_at","M14483_rna1_s_at","M87789_s_at","Y00433_at","V00599_s_at","S71043_rna1_s_at","X82240_rna1_at","X03689_s_at","AFFX.HSAC07.X00351_3_at","M10277_s_at","M17886_at","M69043_at","J04456_at","AFFX.HUMRGE.M10098_5_at","X80822_at","D79205_at","M17733_at","AFFX.M27830_M_at","D64142_at","M12886_at","Z48950_at","HG4319.HT4589_at","X55668_at","M33600_f_at","S82297_at","D32129_f_at","AFFX.HUMGAPDH.M33197_M_at","J03077_s_at","D13413_rna1_s_at","U49869_rna1_at","J00105_s_at","X01677_f_at","D21261_at","M21186_at","U01317_cds4_at","J04990_at","AFFX.HUMGAPDH.M33197_3_at","U14970_at","L38941_at","M94880_f_at","Z48501_s_at","HG658.HT658_f_at","M21005_at","L06797_s_at","HG3576.HT3779_f_at","J04164_at","X69654_at","AFFX.HUMRGE.M10098_3_at","X58529_at","M14328_s_at","X17206_at","X98482_r_at","D78361_at","X68277_at","L20941_at","M13792_at","M28130_rna1_s_at","U06155_s_at","Z23090_at","M84711_at","U43901_rna1_s_at","L20688_at","X14008_rna1_f_at","Z28407_at","M19045_f_at","HG2815.HT4023_s_at","X78992_at","U14973_at","S73591_at","M21119_s_at","M17885_at","M34516_at","M84526_at","L26247_at","J03801_f_at","HG3549.HT3751_at","M24194_at","X76223_s_at","M16279_at","U12404_at","X04347_s_at","M11353_at","AFFX.HUMRGE.M10098_M_at","M62831_at","M19283_at","HG2917.HT3061_f_at","X67247_rna1_at","J03592_at","U51240_at","M77232_rna1_at","X04500_at","HG2915.HT3059_f_at","D63874_at","U14971_at","M23613_at","D23660_at","M33680_at","X15183_at","X12447_at","M11722_at","M18000_at","X17042_at","HG33.HT33_at","V00594_at","S54005_s_at","U78027_rna3_at","X52851_rna1_at","M81757_at","Z49148_s_at","U05259_rna1_at","L04483_s_at","HG3364.HT3541_at","U52101_at","U14968_at","X17093_at","M13934_cds2_at"
"ALL",0,9395,6479,27358,-256,19084,7720,9995,202,17110,9490,20702,16311,16259,569,13988,379,-13838,11538,16217,205,3133,90,12701,-862,318,15575,12565,232,15643,-508,6219,119,15673,10471,15867,965,12049,13380,696,17185,21770,15428,13827,12945,2233,187,70,11291,21305,14836,912,13311,6259,15573,23965,-128,12634,6580,12559,10592,2175,16418,22291,22998,11343,7334,12317,8308,435,15580,18643,22264,10960,9427,13484,363,15357,11098,2617,9987,-364,11267,10188,20657,15843,15842,16085,5593,12217,242,9927,3555,9865,18881,18329,883,16895,888,17611,3940,12932,13039,154,15232,883,-58,11184,1057,22274,17601,-629,1085,20206,14974,16819,-233,8573,16627,13750,22448,18927,6605,20041,850,12565,13830,14539,15987,23144,12747,13116,9718,10926,19285,180,16786,-2447,14383,16997,13608,20522,16388,8148,14410,18327,1371,15747,10202,14520
"ALL",10266,25245,22143,7570,-154,2006,2810,24322,21,14610,20459,26510,18407,-173,-228,2900,-64,-7397,17004,6256,-124,1240,-17,188,343,19,868,16516,156,8,-38,2700,118,14895,570,9913,-162,1387,5543,327,1060,164,17866,19267,17086,5193,16,-103,9673,33548,20840,1263,4391,356,13083,26106,-137,1575,1971,3711,-74,814,31453,22336,10654,2518,1779,-61,194,416,5325,9454,28788,393,2707,10409,-14,7292,1079,6106,10260,-259,3094,2394,17827,15421,6872,10631,3173,2973,184,16869,1762,22218,1161,10248,560,9758,447,17420,22,24478,1978,34,24694,12522,-151,4499,448,6578,22233,-212,708,27333,21800,17227,-282,398,3575,533,29644,8384,11,19552,-183,438,16492,5755,17810,15370,11199,13571,1676,1830,29485,1912,19284,-1470,1821,15947,7740,13544,717,2805,25785,30075,208,20294,2902,3070
"ALL",28402,25589,24327,11829,-129,39558,20226,28109,184,22207,19605,4249,12690,11071,-14,6074,51,-17179,19092,13627,-102,1018,-440,13831,678,7518,7597,20888,137,1498,-176,2809,206,16299,8588,26896,129,1726,7606,150,3283,21747,10551,9304,18918,1026,179,16487,18215,21028,10036,8237,15272,-28,11354,19140,-202,6251,12986,16325,11270,643,20524,13895,21464,16025,4889,7434,367,575,17807,16951,12732,14711,4033,16305,-173,10404,3426,-394,3061,10071,8127,1082,24093,11499,8747,7517,8670,1743,155,13488,41,12208,18084,12201,886,8473,527,6780,10068,23416,1520,40,23086,694,-243,8800,993,25044,21143,-115,-31,13750,9801,11360,13380,3296,11049,3865,21564,10391,6563,14010,576,4150,9604,13042,7746,11729,7910,2984,1333,219,17540,354,12958,-1832,5089,5745,4060,18009,7573,5397,21311,23281,2854,14081,2798,16169
"ALL",9976,11674,36417,29611,-138,4082,3184,34139,497,860,29594,3816,9256,22878,-336,3729,-36,-14937,26573,-1,425,2110,27822,16743,1177,7453,19551,29191,28,298,-197,1212,146,10721,17779,25996,-233,1877,18187,482,-151,22177,17883,17534,22274,740,279,17655,20490,9459,21444,10411,7426,3894,9368,19709,153,216,8296,1782,19434,2933,21233,19249,8604,23399,4153,528,146,782,25224,13981,13189,1730,7859,2129,556,2540,-169,4037,8399,5885,106,4785,25272,17999,5855,1035,2505,12805,148,24282,801,13192,21081,15917,1525,7079,1820,6716,834,26307,4259,212,27159,169,-275,3995,1782,20805,19002,7781,6562,13713,9497,10052,17011,575,9888,1430,24132,8619,467,15104,64,1556,5479,6598,9529,13888,4316,6911,1994,807,21018,178,12805,-1956,6288,6182,10707,14925,14509,870,28357,22031,539,16318,322,17279
"ALL",7295,11243,14989,27983,-32,21307,4462,21817,5,9988,15189,19806,16543,19613,-94,6023,59,-17368,17425,10989,-205,1815,-129,11329,734,245,19009,19097,26,200,-127,6566,185,9081,11295,13709,-274,9198,10398,250,3497,25276,17002,15702,17151,2785,7505,-142,15518,25322,18546,1070,6179,139,10048,22320,-26,4465,8384,4768,10299,38,16553,15811,16743,14012,7131,7251,163,672,16402,18952,20579,5703,13925,10672,156,4516,2737,-191,15264,-386,8558,8574,25469,14915,12299,8351,1876,5981,-146,15906,1394,20515,16642,17069,108,12468,71,9241,6492,19490,4265,178,23082,-797,-263,5819,39,21634,18221,-169,2211,18904,8801,15896,-346,4298,10929,3197,23256,12286,7477,18481,-80,3574,12848,12014,11729,17535,14682,6424,3317,1628,19389,1687,15007,-1710,7361,10460,12022,22750,15083,5955,21394,23648,2724,17417,1290,15575
"ALL",3492,17746,18343,13679,-219,32785,14550,24538,-19,14158,16096,22580,3771,12980,226,13278,135,-17377,17105,13136,-229,10336,-316,19430,502,9085,10929,16714,1,12226,-534,11473,9270,19908,8496,15687,165,8572,7612,397,2410,20927,15190,14125,19906,14011,179,4958,16702,19921,16072,9692,10032,2572,15902,17889,-115,3297,11552,13714,15970,2193,21381,15227,21907,17512,3951,4692,5352,539,20346,23576,14209,13201,8183,12817,-76,10295,3265,13928,4503,4297,1986,3911,24589,13847,10798,17078,5221,2425,4271,17608,16107,11965,19590,15835,512,15190,515,8927,6994,20967,1693,69,26232,742,-203,6383,160,21851,17281,-187,8156,18406,8653,7078,2666,8453,6534,6488,22816,9012,8681,13588,1397,6723,5613,16104,6823,14790,3233,9712,3635,2790,22679,3711,16465,1286,5669,9695,6613,21760,17628,5070,22954,20841,781,11294,3915,15883
"ALL",26941,19660,12801,12146,68,31614,13276,20358,76,19291,16603,17114,10429,14928,601,4718,196,-10652,16958,14115,66,1865,-376,6480,29,322,16563,15861,75,506,-270,6414,183,15023,7579,21004,619,8670,6395,1142,10585,13198,19025,18114,18341,2381,244,29,15794,28168,14954,2367,7253,342,4344,15369,-50,9173,9245,13713,8380,2722,20981,10184,14998,13508,5371,6827,988,530,16130,17285,15345,10872,4737,15085,400,8649,5083,4546,10193,-337,14538,9240,25361,15195,11200,9976,4124,3323,29,16740,4610,13846,19619,17792,441,16136,304,14332,6425,19273,5172,39,23625,544,-53,7484,446,24751,21408,43,8025,19521,10378,8793,-148,7825,10243,7486,22484,11109,13536,12487,227,7873,10573,11140,11032,12742,5779,5613,6590,5455,20717,1750,14983,-887,8519,12520,9409,18762,14942,8219,20441,23139,4415,15807,5542,15301
"ALL",19460,20863,25673,24899,-438,16507,9956,31261,-117,9892,23575,13044,7338,19471,331,4110,-93,-20406,21808,7640,34,1883,-378,9805,176,4681,15848,22113,154,142,-530,1678,150,8854,12077,12142,-419,3060,6681,549,7593,24798,20134,19996,23498,569,111,7953,20633,24997,12987,3692,5454,-276,7989,24531,-381,2523,11815,5293,7327,-4,22469,12494,10284,17149,6020,2722,20,658,15100,18086,21251,4226,5503,6656,79,4273,810,-134,4658,2584,9134,5017,27327,20237,2248,4920,1128,2617,-233,23878,-710,19042,19848,12030,1976,10258,2331,5553,384,26052,2769,54,28296,2653,-398,2315,2406,23303,25800,-624,-794,15750,11401,13124,4004,4287,8759,2491,25119,8781,2207,9627,101,1653,4578,9987,10450,15657,7410,3190,4388,2495,24399,291,19145,-4226,2816,7815,5972,14877,15371,4184,23124,22650,1067,18900,1746,16951
"AML",21622,19478,16716,28698,760,18125,10079,21029,334,5093,15590,5545,23297,15550,15627,12406,6960,-17310,15987,6694,1537,6366,54,17664,13464,561,16027,18911,1749,807,921,20201,8054,15573,12695,11871,12507,10227,4265,5383,-274,22962,15535,15725,18291,13338,4770,504,15078,25152,13905,2244,10726,970,19485,22409,93,3570,9007,7265,13861,2367,20590,9242,16089,13940,13146,7642,164,3038,19462,15440,22386,6639,14917,8102,414,461,1334,269,15349,114,554,11454,24409,9395,12607,5056,2537,911,3693,16654,443,18547,16408,14719,4192,10736,4259,8942,3772,20310,6133,247,23046,7631,4830,7770,4300,21513,19381,161,2037,21363,8905,9205,92,3386,7372,5750,24887,12014,1813,18298,0,4867,5817,13673,10453,18584,1467,5142,8223,454,22002,8518,18896,-1629,4239,10760,7240,18342,16406,711,21022,23187,3533,18118,1457,16149
"AML",61228,39079,45492,25366,-194,15057,29588,37884,-120,14177,26633,11270,11145,13001,1991,7855,15791,-16281,28689,12013,1481,3703,-452,10695,1233,1733,10462,35612,216,11527,-336,1055,216,6927,9628,7860,1909,7848,4991,1082,-288,21194,18960,15192,27470,2306,1118,2171,21889,26279,13424,3481,2205,682,5008,14490,-26,6588,11349,6074,7103,1752,17171,7021,16293,16721,6658,4881,6162,456,16358,13350,13302,4972,7757,7771,4,216,4984,3986,4222,904,228,4898,27111,16601,9125,639,1226,2551,-45,24399,-591,17356,13388,9765,2327,8158,2517,7966,2974,28672,6386,216,25310,591,-312,4328,2397,19688,17933,60,1587,11753,6526,10726,1752,654,4453,3243,23848,8663,2469,16663,-192,2880,5407,9135,6052,10637,1639,3238,4008,2,18847,3628,18412,-1322,3291,7360,6648,18020,14425,654,25664,25320,1454,14345,1074,17757
"AML",18541,15884,23865,12956,1563,37164,9547,26190,20611,15576,17685,14398,25528,25106,15292,24521,2005,-27398,17491,16580,17863,10634,-761,26516,7955,718,26818,18167,371,782,-135,9452,17022,17446,21865,14886,13804,15609,17522,10500,-7,23678,18111,19287,20499,21135,13366,580,17048,22090,17332,2371,18826,-204,14407,15286,-267,12950,11444,18066,17621,17853,17536,12549,21546,18306,13773,15057,777,9823,23892,7341,10975,15921,17609,16593,10610,4451,7461,-833,8346,-38,239,16239,21527,17907,22286,7320,13963,1297,11517,19549,1720,12363,17950,20839,15761,12107,15519,16133,9361,20056,6334,20504,23308,11169,4573,11257,15351,20721,16961,-450,1671,12485,7927,9395,130,7779,10625,12718,20419,9163,4664,12386,25003,14675,4490,7538,5878,10079,2040,3223,12061,455,16338,10603,14032,2340,5504,6302,10282,15251,15127,-14,21806,21628,8386,13597,3289,16993
"AML",4,15693,17359,23363,-103,32204,6839,20909,6869,13094,14577,4954,20254,18866,15833,21277,1003,-23673,14642,13065,13296,31781,-954,25634,9933,1635,17484,17086,1586,1729,1149,16492,19361,16136,16711,14927,12347,15261,13055,13294,-104,21916,14434,15005,17868,12115,6523,2183,15104,19284,14387,4269,13481,-131,13157,20108,176,4575,10228,12242,15041,7839,22013,16524,20096,16806,11107,7895,18403,1280,20251,18590,20056,13307,15160,13591,3234,1221,4497,2215,9990,870,540,7714,26301,13632,15062,8205,13317,753,12979,16257,1117,4848,16806,8142,13087,16980,13221,10818,3839,19179,6207,14508,24572,9892,6759,12512,13348,21692,19774,-222,1579,16041,11160,13237,1563,2380,5345,10502,23681,12013,6595,17148,5526,9258,3763,15619,5966,18802,2840,6033,9229,297,20226,8479,17149,7635,4355,7653,8234,19944,16259,218,20561,23198,7683,15491,1452,17371
"AML",0,16072,19406,9820,-360,28295,9211,24380,-44,943,16836,4674,7075,15226,1053,20124,5702,-23645,16731,488,1661,2494,-765,21592,2676,3946,11184,15612,727,24744,634,10574,10043,18118,14663,13107,584,12468,10355,995,-182,25342,14254,10312,18830,5902,572,819,16909,16835,15140,6727,19451,-179,22822,25056,-97,304,10041,6275,15033,1851,22575,22819,12008,16523,6177,743,17415,804,21518,20343,23514,8768,14977,11303,-136,1294,-313,-459,3885,1938,235,2974,29169,18447,10941,3903,16171,2708,5072,18273,807,4863,18352,3911,1663,15662,2702,10660,10662,22051,15019,176,22203,874,1569,12221,2374,20693,21444,-168,5641,21827,13784,10437,513,3251,5785,2688,24456,6021,2502,17646,122,3634,6604,17284,5310,17933,3589,4537,4846,166,20402,1285,14263,-1707,2306,8908,6675,21063,16477,251,23794,23869,3527,15863,281,18181
"AML",13489,18200,17878,14161,-265,29833,14629,18636,585,13274,12912,18379,18421,18644,2925,16705,429,-20376,14475,11858,1073,5559,-397,19351,548,1710,16876,15944,303,3074,-383,7493,15202,20011,15706,16503,2408,11793,15986,3138,-15,22897,14595,13913,16672,13895,795,1065,14568,21655,11444,2644,13765,1983,15876,19945,-31,9662,9451,8724,12453,2621,21599,14906,18352,13859,12227,3701,2740,646,17844,20627,20327,10235,15315,10547,383,6127,7892,1645,12727,2039,3053,14128,25145,14104,8870,13159,13057,2493,10476,14845,2317,18181,20581,12096,1953,15236,2475,8913,14971,18813,4458,51,23447,1199,-21,8885,2165,20803,18678,-410,1991,20201,13344,11838,498,10713,8749,8121,22391,10531,5032,17818,204,8218,6978,16028,11524,15351,3768,4861,3261,-252,20910,7858,17246,-1134,3532,12202,9505,20630,16848,-2,20607,21146,2860,16390,2267,16526
"AML",7617,23010,26052,9486,996,23862,17503,28159,374,9065,20789,3690,18508,12482,3969,11012,2204,-9501,20653,6918,6962,2569,-448,14706,19615,269,9184,19003,10778,6879,8059,8137,3104,10380,8446,8957,2177,12352,10418,808,23,18498,9529,10279,25141,1908,6377,442,20051,12864,10319,975,6027,113,7688,21146,1831,2705,15533,11383,17479,2452,24526,15609,17714,19228,6300,5297,8991,15074,19262,20969,16980,11461,7780,9355,681,1842,2710,3,17184,-14,-9,7116,27311,6080,9018,1422,8213,487,1653,17393,143,13555,18504,8177,4063,17796,3605,8936,3936,22737,2377,571,30354,1250,6569,6632,3475,20488,22366,-153,3044,16885,13433,7933,-54,1839,11206,4821,24868,9586,3531,14374,83,6039,4206,17052,7992,14179,947,4404,6032,297,23990,8859,17142,130,3002,13174,7226,20787,18644,412,25319,23424,2598,18236,439,18979
"AML",13741,17747,11983,15288,109,25055,12593,17347,11456,17428,12535,10463,21857,20311,3170,18372,353,-17580,13378,15856,14555,13588,-1017,24678,9994,209,21787,14035,2236,989,1556,20688,6506,18433,16788,13303,4053,15961,7901,931,-104,24419,16207,15421,15917,11990,20599,45,12637,23132,16802,1969,12386,-154,13884,25008,505,13176,8770,15229,14230,9349,19501,17035,21020,15527,15470,12304,1409,18795,18329,16168,20303,14783,17064,13538,4129,1425,10002,-820,4889,-186,293,13913,23082,13791,16498,7226,12449,769,2971,13465,8364,16109,16425,17437,6612,13689,6268,13885,3894,18883,718,3425,22417,2098,7372,9491,7039,22054,18294,-322,3982,19465,8531,8476,-450,3802,13621,10241,24357,13353,6945,17821,3847,10429,4642,13049,9249,17480,4576,12584,8374,412,20413,11003,15318,805,8761,12700,11767,18475,16078,343,18208,19087,9936,14805,1679,15610
"AML",20785,14399,23508,13854,53,19277,9554,28210,1331,16544,20128,12016,20540,27914,1743,12276,11205,-25491,19275,16264,7238,1636,-576,20574,7791,3879,21617,19949,1084,1050,425,5272,2096,11400,23829,12122,2239,17124,11414,1839,-190,21435,19257,17000,21941,9866,5402,9042,18742,15086,14026,5114,7110,74,10842,21725,1123,8513,13264,8454,15646,2499,10623,15591,12165,17676,16603,13685,142,2874,20905,20236,16823,9846,11692,10144,998,499,8249,1967,5717,2857,514,10970,27503,18190,15374,1007,3250,1614,688,346,1756,15030,13732,17044,7821,8750,7035,8815,5969,21504,4475,3934,28350,953,4833,6252,5146,21572,22570,-75,7135,15467,8329,10304,3852,1447,8768,3540,25812,11566,3011,15095,-7,3487,3998,16813,6758,16850,2584,4784,10577,385,21749,5849,16410,-1903,6779,6232,7806,23095,15389,272,22697,21469,4935,16203,517,19473
"AML",16866,21063,17996,22266,-154,21177,15235,21618,1827,15837,15004,20609,20758,23054,1970,19173,209,-28400,16074,12220,12339,1880,3028,15496,976,2113,24514,18099,375,2964,-189,11139,12715,20909,19338,14207,1064,13059,8140,2587,-180,23431,16767,15893,17661,10899,2212,5199,15076,16980,15939,3076,5820,6667,11572,20287,-24,10526,10601,7373,12086,7039,18228,14683,18075,14574,12922,5904,1127,1153,15191,19187,16831,9002,14497,10373,1721,1833,11045,5202,13917,1365,9130,17211,24716,10872,15081,8210,6749,4148,7108,17196,2406,13850,18539,18788,5778,11115,7969,10756,15125,20264,5387,4427,25093,116,141,10998,7380,18664,19255,-118,7657,17995,7668,14909,1869,4557,8030,8342,24513,9318,6517,17430,1578,8715,2793,14459,7874,14550,6414,5557,7245,1284,20722,3259,14178,-3197,6504,8089,7944,23371,16075,306,21604,20247,4651,17261,1387,11919
"AML",246,15803,19679,11386,4476,32946,11886,22037,12678,17511,15664,24906,20927,19527,3928,21498,8072,-27811,15952,13854,3654,6191,-329,23659,4108,870,18039,17099,4226,18773,4577,3959,21147,19907,18075,11468,2556,9895,11200,1145,-111,24536,14859,14392,16653,14090,1964,1255,14946,21470,17207,1616,11794,-260,13841,16638,1945,8252,9960,9068,13617,8728,16657,15917,20089,15518,11422,3416,3437,2020,19115,16571,21232,10418,17712,12292,6421,2395,6970,5619,5336,300,1252,12688,26725,9752,8790,8437,14471,1446,13176,16938,451,19490,18824,12311,13076,14308,13195,8805,2570,20138,2012,13140,22347,1877,2000,9246,13397,21921,19132,-39,2226,15791,8583,9112,-94,3790,6113,9328,22830,8145,4738,15683,10583,7913,2823,13040,6366,10044,3197,6500,7730,58,18258,8855,17788,-1257,3017,10126,7047,18835,15768,19,22130,20561,8878,16761,1002,17069
